13 2 3 3 105.933758020401 98 636593
13 3 1 3 70.32407903671265 3 396984
13 3 2 3 327.47669315338135 604800 1963020
13 3 3 3 181.30294704437256 44 1017846
13 3 4 3 105.64839124679565 144 617615
13 3 5 3 146.18704509735107 95 796039
13 4 1 3 38.687599897384644 55 221692
13 4 2 3 320.9464030265808 7 1766589
13 4 3 3 61.57570481300354 9 308253
13 4 4 3 93.61282420158386 56 528130
13 4 5 3 6.521627902984619 34 34284
13 5 1 3 238.90012431144714 14 1207164
13 5 2 3 1935.6667766571045 1656000 11521980
13 5 3 3 1503.733281135559 1186 1522499
13 5 4 3 389.55582904815674 6 2150198
13 5 5 3 24.29632067680359 38 139386
13 6 1 3 850.3099589347839 22 4776564
13 6 2 3 37.51325798034668 18 190374
13 6 3 3 29.862782955169678 4 161840
13 6 4 3 95.67494201660156 8 515989
13 6 5 3 34.04697608947754 18 178510
13 7 1 3 65.11281895637512 18 348902
13 7 2 3 42.888729095458984 2 195060
13 7 3 3 248.99212193489075 18 1385048
13 7 4 3 307.32820081710815 138 1718432
13 7 5 3 88.54976892471313 54 478464
13 8 1 3 751.8481168746948 49896 4479840
13 8 2 3 166.46441292762756 18 856220
13 8 3 3 187.2575659751892 210 965626
13 8 4 3 52.97865176200867 10 275914
13 8 5 3 116.77736067771912 10 548687
